Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,692367.90,58678.55,123832.80,273,0,220,0,468,0,65,0,4,0.43770460699121827,744
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,2900076.53,80188.95,11530.00,1057,0,870,0,1629,0,154,0,6,0.7591225309024511,1152
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,615592.75,33025.39,1870.00,508,0,722,0,850,0,23,0,2,0.22816689161944287,192
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,558881.14,237843.06,225378.00,187,0,21,0,463,0,120,0,3,0.9465272259849276,672
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,56193.82,14886.16,141891.00,17,0,2,0,27,0,11,0,4,0.21818181818181817,660
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,780518.62,229871.29,565372.00,293,0,82,0,750,0,184,0,6,0.930250932073312,1164
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,443890.44,216353.76,54461.88,116,0,46,0,340,0,26,0,6,0.9659802644386822,408
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,905307.22,291239.69,93994.96,207,0,41,0,630,0,58,0,7,0.8250189465061883,624
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1062221.08,159385.18,98921.48,227,0,71,0,386,0,59,0,7,0.8645435851772441,540
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,1941016.28,0.00,0,572,0,139,0,1273,0,316,10,0.9841091694993152,2160
